model,ticker,step,lookback,units,window,seed,rmse_train,mae_train,mape_train,rmse_test,mae_test,mape_test,train_time_s,infer_time_train_s,infer_time_test_s,ts
FuzzyMomentum,SOL-USD,1d,1,16,10,42,4.751572198177377,2.7704246044158936,5.675100803375244,7.233748274941879,5.07503604888916,3.1730611324310303,38.231130838394165,0.6778116226196289,0.1153054237365722,1777052619.88047
FuzzyTrend,SOL-USD,1d,1,16,10,42,4.767243057472375,3.02983832359314,19.68253517150879,7.306890439043382,5.197511672973633,3.223530530929565,36.243109703063965,0.6618587970733643,0.1250214576721191,1777052680.9920137
FuzzyVolatility,SOL-USD,1d,1,16,10,42,4.719921042541618,2.956770658493042,18.466455459594727,7.291455627293835,5.21376895904541,3.295558214187622,36.158002614974976,0.9484093189239502,0.1620464324951172,1777052727.849292
FuzzyAll,SOL-USD,1d,1,16,10,42,4.8832476368611655,3.296300411224365,15.88889503479004,7.333295157362087,5.245883941650391,3.3278379440307617,35.64751696586609,0.972426176071167,0.1570355892181396,1777052809.861821
FuzzyBasic,BNB-USD,1d,1,16,10,42,11.700665081716176,5.4268670082092285,5.546591281890869,23.554302702080783,16.243858337402344,2.250279188156128,47.03857803344727,0.9898805618286132,0.1783182621002197,1777052936.8322098
FuzzyMomentum,BNB-USD,1d,1,16,10,42,12.378859409425422,6.443699836730957,9.023353576660156,24.142436471274628,16.647991180419922,2.288982391357422,51.56248235702515,0.7616841793060303,0.1483373641967773,1777053077.32948
FuzzyTrend,BNB-USD,1d,1,16,10,42,12.13552179686669,5.533735275268555,3.9317235946655273,23.377434751623333,16.53550148010254,2.3095719814300537,52.24580121040344,0.7208728790283203,0.1289966106414795,1777053133.745366
FuzzyVolatility,BNB-USD,1d,1,16,10,42,11.96043549424159,5.482156276702881,4.056904315948486,23.013470229665906,16.21442985534668,2.2762651443481445,47.27865529060364,0.7416102886199951,0.1357896327972412,1777053345.384439
FuzzyAll,BNB-USD,1d,1,16,10,42,12.245306867661714,6.054910659790039,6.9177021980285645,28.82003612804597,21.26014709472656,2.897612333297729,45.950713872909546,0.7717835903167725,0.1422610282897949,1777053424.697039
FuzzyBasic,XRP-USD,1d,1,16,10,42,0.0516103091179934,0.0219062212854623,3.584873676300049,0.1002420268181984,0.0605028681457042,3.172567129135132,52.27819275856018,0.6726596355438232,0.1360957622528076,1777053526.3240004
FuzzyMomentum,XRP-USD,1d,1,16,10,42,0.036851313469967,0.0186345409601926,3.351560115814209,0.090229357542768,0.052785363048315,2.853586912155152,44.7732412815094,1.036104679107666,0.2518227100372314,1777053577.9342887
FuzzyTrend,XRP-USD,1d,1,16,10,42,0.0514453416677984,0.0222346764057874,3.5956218242645264,0.1349716615625599,0.0911387652158737,4.387874603271484,46.41467261314392,0.7132463455200195,0.1474425792694091,1777053638.892075
FuzzyVolatility,XRP-USD,1d,1,16,10,42,0.0509263565118474,0.0222712252289056,3.732420444488525,0.1117945445648886,0.0724044516682624,3.66905665397644,45.023168087005615,0.6799137592315674,0.1313905715942382,1777053721.7163966
FuzzyAll,XRP-USD,1d,1,16,10,42,0.0364028099510982,0.0187466666102409,3.4098989963531494,0.1505580812014028,0.1048836633563041,4.930051326751709,41.97439479827881,0.6682310104370117,0.1225497722625732,1777053779.6438236
FuzzyBasic,^GSPC,1d,1,16,10,42,4.135913860626744,1.3574165105819702,0.7652361392974854,30.0939872946252,17.737260818481445,0.7864723205566406,260.1765470504761,2.616583824157715,0.5817999839782715,1777054109.943034
FuzzyMomentum,^GSPC,1d,1,16,10,42,4.1652869165335895,1.403730034828186,0.8674173355102539,45.71350576552842,26.26523971557617,0.9677017331123352,251.6874148845673,1.5506787300109863,0.4387991428375244,1777054391.942212
FuzzyTrend,^GSPC,1d,1,16,10,42,4.155141811773955,1.426838994026184,0.9988829493522644,30.391076876460588,17.930274963378906,0.7910720109939575,254.390454530716,9.48131775856018,0.4531686305999756,1777054692.9288528
FuzzyVolatility,^GSPC,1d,1,16,10,42,4.152820979602064,1.4121456146240234,0.9603660702705384,40.79768137607899,24.94790840148925,0.9486901760101318,290.9796175956726,1.7180147171020508,0.4332430362701416,1777055006.253961
FuzzyAll,^GSPC,1d,1,16,10,42,4.139800367471786,1.3731346130371094,0.8237524032592773,46.50541803112837,28.604257583618164,1.0422593355178833,278.3140962123871,2.651768207550049,0.4914319515228271,1777055337.5820608
FuzzyBasic,^IXIC,1d,1,16,10,42,26.31817435289787,11.740915298461914,0.8324137926101685,149.3880420561666,91.4183120727539,0.8826911449432373,136.42347860336304,0.9848716259002686,0.23911714553833,1777120584.527662
FuzzyMomentum,^IXIC,1d,1,16,10,42,26.4309910907454,11.88490390777588,0.8610714077949524,155.41903413634702,97.08683776855467,0.9160074591636658,134.32300782203674,0.9823775291442872,0.2355659008026123,1777120751.6914496
FuzzyTrend,^IXIC,1d,1,16,10,42,26.21919812079798,11.779027938842772,0.8286230564117432,4110.173232358948,2424.427001953125,15.384273529052734,129.49768710136414,1.0625603199005127,0.2390298843383789,1777120907.0314248
FuzzyVolatility,^IXIC,1d,1,16,10,42,26.321250493452293,11.86241340637207,0.9335240125656128,157.66646708717107,99.58416748046876,0.9396932125091552,143.54163479804993,1.1033082008361816,0.2568786144256592,1777121204.256503
FuzzyAll,^IXIC,1d,1,16,10,42,25.93676815609093,11.855863571166992,0.8672134280204773,3666.980501720728,1857.614990234375,11.859016418457031,128.50369000434875,0.9942083358764648,0.2420952320098877,1777121406.357031
FuzzyBasic,^DJI,1d,1,16,10,42,110.86631518973653,74.3025894165039,0.7285912036895752,350.23108442855266,238.39453125,0.7491591572761536,86.5869734287262,0.9948136806488036,0.2793726921081543,1777121561.8432212
FuzzyMomentum,^DJI,1d,1,16,10,42,111.20427431083752,74.69236755371094,0.7230391502380371,351.1938789685834,239.697265625,0.7523840069770813,85.80322551727295,0.820136547088623,0.1913149356842041,1777121653.9668643
FuzzyTrend,^DJI,1d,1,16,10,42,110.68225919269987,74.3493423461914,0.7234073281288147,398.0424953758079,244.7393341064453,0.7813795208930969,87.15346264839172,1.3456668853759766,0.2497797012329101,1777121749.0915153
FuzzyVolatility,^DJI,1d,1,16,10,42,110.86060275042482,74.26197814941406,0.7243684530258179,350.58650635399533,238.8046875,0.7503423094749451,86.55708503723145,0.7698624134063721,0.1845080852508545,1777122263.9420693
FuzzyAll,^DJI,1d,1,16,10,42,111.04542725417603,74.85400390625,0.7240273952484131,846.439159065789,293.51239013671875,1.0048532485961914,86.3014144897461,0.7938928604125977,0.180471658706665,1777122480.3238158
FuzzyBasic,^FTSE,1d,1,16,10,42,50.673007233727255,33.43355941772461,0.7810487151145935,66.2265841578648,46.54141998291016,0.6482193470001221,100.5007996559143,1.1485538482666016,0.2171525955200195,1777122650.4831386
FuzzyMomentum,^FTSE,1d,1,16,10,42,50.93855443693902,33.71512985229492,0.7796226739883423,66.15168117194754,46.4707260131836,0.64609694480896,134.9623782634735,1.4606821537017822,0.2714118957519531,1777124031.9351995
FuzzyTrend,^FTSE,1d,1,16,10,42,50.6127372300874,33.50486755371094,0.7780806422233582,116.84229572510333,54.06523513793945,0.764783501625061,111.61808013916016,0.9501266479492188,0.2193512916564941,1777124487.3559062
FuzzyVolatility,^FTSE,1d,1,16,10,42,50.76119555929879,33.52721405029297,0.7825419306755066,66.15744935733807,46.52838134765625,0.6472180485725403,109.70554709434508,0.8964619636535645,0.1991355419158935,1777124604.9055178
FuzzyAll,^FTSE,1d,1,16,10,42,50.7479169446269,33.64876174926758,0.7773472666740417,83.18768489367132,49.018890380859375,0.6927027702331543,116.33260917663574,0.9507861137390136,0.2219090461730957,1777124733.621593
FuzzyBasic,^N225,1d,1,16,10,42,188.00012466751187,106.75878143310548,0.847569465637207,351.7635924879094,220.30685424804688,0.953482449054718,172.41650485992432,1.181767463684082,0.3241949081420898,1777125194.539627
FuzzyMomentum,^N225,1d,1,16,10,42,188.3183806748561,107.77218627929688,0.858128547668457,354.17357591299776,222.5349273681641,0.9593498706817628,164.35267567634585,1.0597152709960938,0.2744712829589844,1777125389.3086083
FuzzyTrend,^N225,1d,1,16,10,42,187.1570613816107,106.84195709228516,0.8459908962249756,362.0233288408359,224.8354949951172,0.9668042063713074,154.41475749015808,1.3105309009552002,0.2819705009460449,1777125551.654448
FuzzyVolatility,^N225,1d,1,16,10,42,188.0679523137847,107.14797973632812,0.8539699912071228,353.79338294052366,222.0982818603516,0.9585651755332948,163.33684253692627,1.059485912322998,0.2488491535186767,1777125745.9028542
FuzzyAll,^N225,1d,1,16,10,42,184.9783454387297,107.1197509765625,0.846062421798706,366.8992964697534,227.7270965576172,0.979041576385498,167.90614938735962,1.6083877086639404,0.291621446609497,1777125966.9726968
FuzzyBasic,GC=F,1d,1,16,10,42,11.626077581525104,7.425205707550049,0.781164288520813,36.7947235968734,20.819339752197266,0.8270094990730286,77.69465923309326,0.8462734222412109,0.4027070999145508,1777126200.6787317
FuzzyMomentum,GC=F,1d,1,16,10,42,11.724922853390924,7.53572940826416,0.785368025302887,36.79970298315514,20.70574951171875,0.8215875625610352,73.25723838806152,0.8004910945892334,0.1718571186065673,1777126392.3467464
FuzzyTrend,GC=F,1d,1,16,10,42,11.658515771325026,7.460192203521728,0.7796152234077454,36.91450975258154,20.896556854248047,0.8290482759475708,67.37968301773071,0.5707125663757324,0.3818302154541015,1777126516.4205067
FuzzyVolatility,GC=F,1d,1,16,10,42,11.645985683657065,7.452231884002685,0.7821748852729797,36.6585160877771,20.63828468322754,0.8207501769065857,76.68154954910278,0.8838865756988525,0.2084279060363769,1777127094.3448238
FuzzyAll,GC=F,1d,1,16,10,42,11.707029946613208,7.538266181945801,0.7866793274879456,37.04841703876328,21.03547477722168,0.8330495357513428,69.6048309803009,0.7620604038238525,0.1561465263366699,1777127686.8927732
FuzzyBasic,CL=F,1d,1,16,10,42,1.424898809889131,0.9986098408699036,1.7090102434158323,2.70421406410972,1.4122209548950195,2.4049322605133057,74.94266867637634,0.8977627754211426,0.221858263015747,1777127952.7225327
FuzzyMomentum,CL=F,1d,1,16,10,42,1.4289668200186572,1.0016542673110962,1.693958759307861,2.671664134845577,1.421850085258484,2.398984432220459,78.9737777709961,1.1735615730285645,0.2732167243957519,1777128408.551559
FuzzyTrend,CL=F,1d,1,16,10,42,1.4251245109638238,1.0024441480636597,1.70455002784729,2.6496773577357784,1.4142799377441406,2.375495433807373,71.63728761672974,0.8158464431762695,0.1570043563842773,1777129056.5364137
FuzzyVolatility,CL=F,1d,1,16,10,42,1.425639022631083,1.0005927085876465,1.7061477899551392,2.688123320220018,1.426716685295105,2.4290037155151367,90.16472935676576,0.9419894218444824,0.1821742057800293,1777129514.9505386
FuzzyAll,CL=F,1d,1,16,10,42,1.4146773545373503,1.0003459453582764,1.6893230676651,2.602293352906255,1.4319164752960205,2.3902926445007324,72.56577014923096,0.7658941745758057,0.164292573928833,1777129776.806537
FuzzyBasic,SI=F,1d,1,16,10,42,0.3837249547011073,0.2196474373340606,1.358479142189026,1.419192204061769,0.5776790976524353,1.6781535148620603,84.3973000049591,1.128727674484253,0.3976247310638428,1777130237.3766592
FuzzyMomentum,SI=F,1d,1,16,10,42,0.3865630096333505,0.220743253827095,1.345403075218201,1.4313710623768523,0.5734423995018005,1.6690082550048828,73.17485308647156,0.779714822769165,0.162419319152832,1777131019.98534
FuzzyTrend,SI=F,1d,1,16,10,42,0.3859090516574613,0.2192270457744598,1.3392176628112793,1.427848759151336,0.5731672048568726,1.6663315296173096,79.57026624679565,0.8424711227416992,0.207254409790039,1777131171.829862
FuzzyVolatility,SI=F,1d,1,16,10,42,0.3831360870113741,0.2187759280204773,1.3263493776321411,1.433419281947926,0.5851820707321167,1.6875395774841309,83.71348714828491,0.7981290817260742,0.1637277603149414,1777131328.9630492
FuzzyAll,SI=F,1d,1,16,10,42,0.3749571418113074,0.2184882909059524,1.326601266860962,5.795417211619736,1.455144286155701,2.725714445114136,90.22151231765748,0.9057323932647704,0.1697840690612793,1777131457.2022932
FuzzyBasic,HG=F,1d,1,16,10,42,0.0461925054826654,0.0306733548641204,1.2373065948486328,0.0757325045144314,0.0499806813895702,1.205894947052002,73.21683120727539,0.7988808155059814,0.1655499935150146,1777132408.7155292
FuzzyMomentum,HG=F,1d,1,16,10,42,0.0464961968543938,0.0310000721365213,1.2387580871582031,0.0762500331391981,0.0503387153148651,1.2110189199447632,68.94313168525696,0.8497703075408936,0.1570737361907959,1777132576.9783733
FuzzyTrend,HG=F,1d,1,16,10,42,0.0462415380807715,0.030888769775629,1.251051425933838,0.0764370697316219,0.0505308583378791,1.2155834436416626,69.09522700309753,0.7476761341094971,0.1448545455932617,1777132708.1841817
FuzzyVolatility,HG=F,1d,1,16,10,42,0.046250436759027,0.0307898912578821,1.244057536125183,0.0759820804945694,0.050160463899374,1.2087808847427368,84.98604679107666,0.9236490726470948,0.2241542339324951,1777132950.3719745
FuzzyAll,HG=F,1d,1,16,10,42,0.0463971201628888,0.0308999512344598,1.2210843563079834,0.0767575756583794,0.0508478730916976,1.2215232849121094,71.86747789382935,0.75760817527771,0.153517484664917,1777133358.1989958
FuzzyBasic,NG=F,1d,1,16,10,42,0.1886230551699667,0.1175132915377616,2.421958446502685,0.2232504495208247,0.1302091181278228,3.525479555130005,79.94810557365417,0.8046774864196777,0.1935372352600097,1777183529.4177108
FuzzyMomentum,NG=F,1d,1,16,10,42,0.1829031373167614,0.1147933676838874,2.402684211730957,0.2248044949422188,0.1310631334781646,3.5364794731140137,77.55061030387878,0.8371362686157227,0.1743762493133545,1777183722.1290264
FuzzyTrend,NG=F,1d,1,16,10,42,0.1885535720276935,0.1174637228250503,2.4253897666931152,0.2240340286052772,0.1305321156978607,3.527434825897217,80.5759527683258,0.8081686496734619,0.1594452857971191,1777183821.9027894
FuzzyVolatility,NG=F,1d,1,16,10,42,0.1893008691962227,0.1181055381894111,2.4312891960144043,0.2231543390635345,0.1309061050415039,3.535438060760498,76.27089357376099,0.8242700099945068,0.1693301200866699,1777183903.7926862
FuzzyAll,NG=F,1d,1,16,10,42,0.1821923337233009,0.11456722766160965,2.3966879844665527,0.22436906149239086,0.13097873330116272,3.5317752361297607,74.79511833190918,0.8340198993682861,0.16755342483520508,1777184006.5619957
